title,certificate_type,rating,difficulty_level,no_students,content_duration,subject,About,description
Building Resilient Streaming Analytics Systems on GCP,COURSE,4.6,Intermediate,5800.0,2.0,DevOps & Cloud Engineering,,
Building Scalable Java Microservices with Spring Boot and Spring Cloud,COURSE,4.3,Intermediate,24000.0,2.0,Software Engineering,,
Building Your Leadership Skills,COURSE,4.5,Mixed,67000.0,2.0,Project Management,,
Business Analytics,SPECIALIZATION,4.6,Beginner,280000.0,2.0,Data Analytics & Business Intelligence,,
Business English,SPECIALIZATION,4.7,Intermediate,38000.0,2.0,Language Learning,,
Business English Communication Skills,SPECIALIZATION,4.7,Intermediate,120000.0,2.0,Soft Skills & Communication,,
Business English: Networking,COURSE,4.7,Intermediate,77000.0,2.0,Soft Skills & Communication,,
Business Foundations,SPECIALIZATION,4.7,Beginner,510000.0,2.0,Other,,
Business Model Innovation,COURSE,4.7,Mixed,13000.0,2.0,Entrepreneurship & Strategy,,
Business Statistics and Analysis,SPECIALIZATION,4.7,Beginner,110000.0,2.0,Data Science,,
Business Strategies for A Better World,SPECIALIZATION,4.7,Beginner,24000.0,2.0,Other,,
Business Strategy,SPECIALIZATION,4.7,Beginner,89000.0,2.0,Entrepreneurship & Strategy,,
Business Technology Management,SPECIALIZATION,4.5,Beginner,67000.0,2.0,Other,,
Business Transformation with Google Cloud,COURSE,4.7,Beginner,10000.0,2.0,Software Engineering,,
Business Writing,COURSE,4.8,Beginner,48000.0,2.0,Soft Skills & Communication,,
Business and Financial Modeling,SPECIALIZATION,4.5,Beginner,160000.0,2.0,Finance & Accounting,,
C for Everyone: Programming Fundamentals,COURSE,4.5,Beginner,31000.0,2.0,Other,,
C# Programming for Unity Game Development,SPECIALIZATION,4.7,Beginner,36000.0,2.0,Software Engineering,,
COVID-19 Contact Tracing,COURSE,4.9,Beginner,220000.0,2.0,Other,,
COVID-19: What You Need to Know (CME Eligible),COURSE,4.8,Beginner,32000.0,2.0,Embedded Systems & IoT,,
"Cameras, Exposure, and Photography",COURSE,4.7,Mixed,130000.0,2.0,Photography,,
Camino a la Excelencia en Gestión de Proyectos,COURSE,4.7,Beginner,340000.0,2.0,Other,,
"Capstone: Retrieving, Processing, and Visualizing Data with Python",COURSE,4.6,Mixed,82000.0,2.0,Software Engineering,,
Career Success,SPECIALIZATION,4.4,Beginner,790000.0,2.0,AR & VR Development,,
Challenging Forensic Science: How Science Should Speak to Court,COURSE,4.8,Beginner,31000.0,2.0,Other,,
Chemicals and Health,COURSE,4.7,Beginner,23000.0,2.0,Other,,
Chicken Behaviour and Welfare,COURSE,4.7,Mixed,19000.0,2.0,AR & VR Development,,
Child Nutrition and Cooking,COURSE,4.7,Beginner,30000.0,2.0,Healthcare & Medicine,,
Chinese for HSK 1,COURSE,4.8,Beginner,22000.0,2.0,Language Learning,,
Cisco Networking Basics,SPECIALIZATION,4.7,Beginner,57000.0,2.0,Soft Skills & Communication,,
Classical Sociological Theory,COURSE,4.8,Mixed,51000.0,2.0,Cybersecurity,,
Claves de la Dirección de Empresas,SPECIALIZATION,4.8,Beginner,51000.0,2.0,Other,,
Climate Change and Health: From Science to Action,SPECIALIZATION,4.6,Beginner,4800.0,2.0,Environmental Science & Sustainability,,
Clinical Terminology for International and U.S. Students,COURSE,4.8,Beginner,32000.0,2.0,Web Development,,
Cloud Computing,SPECIALIZATION,4.4,Intermediate,110000.0,2.0,Cloud Infrastructure,,
Cloud Computing Basics (Cloud 101),COURSE,4.5,Beginner,37000.0,2.0,Cloud Infrastructure,,
Cloud Engineering with Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000.0,2.0,Software Engineering,,
Coaching Skills for Managers,SPECIALIZATION,4.7,Intermediate,37000.0,2.0,Other,,
Code Yourself! An Introduction to Programming,COURSE,4.7,Beginner,120000.0,2.0,Other,,
Communication Skills for Engineers,SPECIALIZATION,4.7,Beginner,15000.0,2.0,Soft Skills & Communication,,
Communication Strategies for a Virtual Age,COURSE,4.8,Beginner,43000.0,2.0,Soft Skills & Communication,,
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,COURSE,4.9,Beginner,6400.0,2.0,Web Development,,
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",COURSE,4.7,Beginner,43000.0,2.0,Software Engineering,,
Competitive Strategy and Organization Design,SPECIALIZATION,4.7,Intermediate,350000.0,2.0,Deep Learning,,
Computational Social Science,SPECIALIZATION,4.6,Beginner,5800.0,2.0,Cybersecurity,,
Computational Thinking for Problem Solving,COURSE,4.8,Beginner,33000.0,2.0,Embedded Systems & IoT,,
Computer Security and Systems Management,SPECIALIZATION,4.6,Beginner,27000.0,2.0,Cybersecurity,,
Conflict Management,SPECIALIZATION,4.3,Beginner,66000.0,2.0,Other,,
Construction Cost Estimating and Cost Control,COURSE,4.7,Beginner,19000.0,2.0,Other,,
Construction Management,SPECIALIZATION,4.7,Beginner,61000.0,2.0,Other,,
Construction Project Management,COURSE,4.8,Beginner,43000.0,2.0,Project Management,,
Construction Scheduling,COURSE,4.8,Beginner,15000.0,2.0,Other,,
Contabilidad para no contadores,COURSE,4.7,Beginner,220000.0,2.0,Data Analytics & Business Intelligence,,
Content Strategy for Professionals,SPECIALIZATION,4.5,Beginner,27000.0,2.0,Other,,
Continuous Delivery & DevOps,COURSE,4.6,Beginner,26000.0,2.0,DevOps & Cloud Engineering,,
Control of Mobile Robots,COURSE,4.8,Mixed,49000.0,2.0,Web Development,,
Convolutional Neural Networks,COURSE,4.9,Intermediate,240000.0,2.0,Machine Learning,,
Convolutional Neural Networks in TensorFlow,COURSE,4.7,Intermediate,46000.0,2.0,Machine Learning,,
Corporate & Commercial Law I: Contracts & Employment Law,COURSE,4.8,Intermediate,10000.0,2.0,Web Development,,
Corporate Finance Essentials,COURSE,4.8,Mixed,56000.0,2.0,Finance & Accounting,,
Corporate Strategy,COURSE,4.8,Beginner,7800.0,2.0,Other,,
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,COURSE,4.6,Mixed,10000.0,2.0,Game Development,,
"Corrección, estilo y  variaciones de la lengua española",COURSE,4.6,Beginner,75000.0,2.0,Web Development,,
Cost and Economics in Pricing Strategy,COURSE,4.8,Beginner,15000.0,2.0,Other,,
Costos para los Negocios,COURSE,4.8,Intermediate,43000.0,2.0,Mobile Development,,
Crash Course on Python,COURSE,4.8,Beginner,81000.0,2.0,Software Engineering,,
Creative Problem Solving,COURSE,4.3,Mixed,140000.0,2.0,Embedded Systems & IoT,,
Creative Writing,SPECIALIZATION,4.6,Beginner,140000.0,2.0,Other,,
Creative Writing: The Craft of Plot,COURSE,4.7,Mixed,120000.0,2.0,Other,,
"Creatividad, diseño e innovación: Técnicas y herramientas",SPECIALIZATION,4.7,Beginner,150000.0,2.0,Other,,
Cuidado de heridas en el ámbito hospitalario,COURSE,4.8,Intermediate,26000.0,2.0,Embedded Systems & IoT,,
Cuidados y procedimientos generales en la atención del recién nacido,COURSE,4.8,Intermediate,22000.0,2.0,Natural Language Processing,,
Culture-Driven Team Building,SPECIALIZATION,4.6,Beginner,17000.0,2.0,Other,,
Curanderismo: Traditional Healing Using Plants,COURSE,4.6,Beginner,5500.0,2.0,Web Development,,
Customer Segmentation and Prospecting,COURSE,4.7,Beginner,18000.0,2.0,Sales & Customer Success,,
Cybersecurity,SPECIALIZATION,4.5,Intermediate,99000.0,2.0,Cybersecurity,,
Cybersecurity and Its Ten Domains,COURSE,4.2,Beginner,140000.0,2.0,Web Development,,
Cybersecurity for Business,SPECIALIZATION,4.6,Beginner,23000.0,2.0,Cybersecurity,,
Cómo hablar bien en público,COURSE,4.8,Beginner,55000.0,2.0,Data Analytics & Business Intelligence,,
Dairy Production and Management,COURSE,4.8,Mixed,23000.0,2.0,Other,,
Data Analysis and Interpretation,SPECIALIZATION,4.4,Beginner,100000.0,2.0,Supply Chain & Operations,,
Data Analysis and Presentation Skills: the PwC Approach,SPECIALIZATION,4.6,Beginner,220000.0,2.0,Soft Skills & Communication,,
Data Analysis with Python,COURSE,4.7,Beginner,110000.0,2.0,Software Engineering,,
Data Analytics for Lean Six Sigma,COURSE,4.8,Beginner,24000.0,2.0,Data Analytics & Business Intelligence,,
Data Collection and Processing with Python,COURSE,4.7,Intermediate,19000.0,2.0,Software Engineering,,
Data Engineering on Google Cloud Platform 日本語版,SPECIALIZATION,4.4,Intermediate,3000.0,2.0,Software Engineering,,
Data Engineering with Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000.0,2.0,Software Engineering,,
"Data Engineering, Big Data, and Machine Learning on GCP",SPECIALIZATION,4.6,Intermediate,120000.0,2.0,DevOps & Cloud Engineering,,
Data Management for Clinical Research,COURSE,4.7,Beginner,42000.0,2.0,Healthcare & Medicine,,
Data Mining,SPECIALIZATION,4.4,Intermediate,140000.0,2.0,Other,,
Data Science,SPECIALIZATION,4.5,Beginner,830000.0,2.0,Data Science,,
Data Science Math Skills,COURSE,4.5,Beginner,140000.0,2.0,Data Science,,
Data Science Methodology,COURSE,4.6,Beginner,89000.0,2.0,Data Science,,
Data Science: Foundations using R,SPECIALIZATION,4.6,Beginner,740000.0,2.0,Data Science,,
Data Science: Statistics and Machine Learning,SPECIALIZATION,4.4,Intermediate,210000.0,2.0,Data Science,,
Data Visualization and Communication with Tableau,COURSE,4.7,Mixed,130000.0,2.0,Embedded Systems & IoT,,
Data Visualization with Advanced Excel,COURSE,4.8,Beginner,60000.0,2.0,Data Science,,
Data Visualization with Python,COURSE,4.6,Intermediate,66000.0,2.0,Software Engineering,,
Data Visualization with Tableau,SPECIALIZATION,4.5,Beginner,96000.0,2.0,Embedded Systems & IoT,,
Data Warehousing for Business Intelligence,SPECIALIZATION,4.5,Advanced,140000.0,2.0,Data Analytics & Business Intelligence,,
Data and Health Indicators in Public Health Practice,COURSE,4.7,Beginner,18000.0,2.0,Healthcare & Medicine,,
Data-driven Decision Making,COURSE,4.6,Beginner,120000.0,2.0,Other,,
Databases and SQL for Data Science,COURSE,4.7,Beginner,110000.0,2.0,Data Science,,
De-Mystifying Mindfulness,COURSE,4.8,Beginner,150000.0,2.0,Other,,
Decision-Making and Scenarios,COURSE,4.6,Mixed,31000.0,2.0,Mobile Development,,
Deep Learning,SPECIALIZATION,4.8,Intermediate,690000.0,2.0,Machine Learning,,
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,COURSE,4.8,Beginner,44000.0,2.0,Other,,
Dentistry 101,COURSE,4.7,Beginner,4500.0,2.0,Other,,
Dermatology: Trip to skin,COURSE,4.4,Beginner,8200.0,2.0,Other,,
Design Thinking for Innovation,COURSE,4.6,Beginner,240000.0,2.0,Entrepreneurship & Strategy,,
Design Thinking for the Greater Good: Innovation in the Social Sector,COURSE,4.6,Beginner,17000.0,2.0,Software Engineering,,
Design and Interpretation of Clinical Trials,COURSE,4.7,Mixed,67000.0,2.0,Supply Chain & Operations,,
Design and Make Infographics (Project-Centered Course),COURSE,4.7,Mixed,97000.0,2.0,Graphic Design,,
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,COURSE,4.6,Intermediate,19000.0,2.0,Project Management,,
Developing APIs with Google Cloud's Apigee API Platform,SPECIALIZATION,4.6,Intermediate,16000.0,2.0,Software Engineering,,
Developing Applications with Google Cloud Platform,SPECIALIZATION,4.7,Intermediate,300000.0,2.0,Software Engineering,,
Developing Applications with Google Cloud Platform 日本語版,SPECIALIZATION,4.8,Intermediate,4000.0,2.0,Software Engineering,,
Developing Industrial Internet of Things,SPECIALIZATION,4.6,Intermediate,8000.0,2.0,Embedded Systems & IoT,,
Developing Your Musicianship,COURSE,4.8,Mixed,41000.0,2.0,Other,,
Developing Your Musicianship,SPECIALIZATION,4.8,Beginner,54000.0,2.0,Other,,
Devenir entrepreneur du changement,COURSE,4.7,Mixed,54000.0,2.0,Other,,
Digital Advertising Strategy,SPECIALIZATION,4.4,Beginner,9000.0,2.0,Software Engineering,,
Digital Business Models,COURSE,4.5,Beginner,21000.0,2.0,Software Engineering,,
Digital Manufacturing & Design Technology,SPECIALIZATION,4.6,Beginner,37000.0,2.0,Software Engineering,,
Digital Marketing,SPECIALIZATION,4.6,Beginner,380000.0,2.0,Software Engineering,,
Digital Media and Marketing Strategies,COURSE,4.4,Mixed,57000.0,2.0,Software Engineering,,
Digital Product Management,SPECIALIZATION,4.7,Beginner,140000.0,2.0,Software Engineering,,
Digital Product Management: Modern Fundamentals,COURSE,4.7,Beginner,58000.0,2.0,Software Engineering,,
Dino 101: Dinosaur Paleobiology,COURSE,4.5,Beginner,35000.0,2.0,Data Analytics & Business Intelligence,,
Discrete Optimization,COURSE,4.9,Intermediate,40000.0,2.0,Supply Chain & Operations,,
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,SPECIALIZATION,4.6,Beginner,4000.0,2.0,Software Engineering,,
Diseño y Creación de un Emprendimiento Social,COURSE,4.9,Beginner,21000.0,2.0,Cybersecurity,,
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",COURSE,4.8,Intermediate,130000.0,2.0,Software Engineering,,
Dog Emotion and Cognition,COURSE,4.6,Mixed,150000.0,2.0,Other,,
Driving business towards the Sustainable Development Goals,COURSE,4.8,Beginner,5600.0,2.0,Software Engineering,,
Drug Commercialization,COURSE,4.7,Beginner,17000.0,2.0,Other,,
Drug Discovery,COURSE,4.6,Beginner,39000.0,2.0,Bioinformatics & Computational Biology,,
Dynamic Public Speaking,SPECIALIZATION,4.7,Beginner,110000.0,2.0,Soft Skills & Communication,,
EMT Foundations,COURSE,4.8,Beginner,7100.0,2.0,Other,,
Ecology: Ecosystem Dynamics and Conservation,COURSE,4.8,Intermediate,18000.0,2.0,Other,,
Econometrics: Methods and Applications,COURSE,4.7,Mixed,110000.0,2.0,Data Analytics & Business Intelligence,,
Economics of Money and Banking,COURSE,4.9,Mixed,83000.0,2.0,Other,,
Ecosystem Services: a Method for Sustainable Development,COURSE,4.7,Intermediate,16000.0,2.0,Embedded Systems & IoT,,
Effective Compliance Programs,COURSE,4.9,Mixed,3400.0,2.0,Cybersecurity,,
Egiptología (Egyptology),COURSE,4.9,Beginner,46000.0,2.0,Other,,
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,COURSE,5.0,Beginner,1500.0,2.0,Software Engineering,,
Elastic Google Cloud Infrastructure: Scaling and Automation,COURSE,4.7,Intermediate,57000.0,2.0,Software Engineering,,
Electric Industry Operations and Markets,COURSE,4.8,Beginner,12000.0,2.0,Web Development,,
Electronic Music Production,SPECIALIZATION,4.8,Intermediate,110000.0,2.0,Music & Audio Production,,
Emerging Technologies: From Smartphones to IoT to Big Data,SPECIALIZATION,4.6,Beginner,17000.0,2.0,Embedded Systems & IoT,,
"Energy Production, Distribution & Safety",SPECIALIZATION,4.7,Beginner,37000.0,2.0,Natural Language Processing,,
Engineering Health: Introduction to Yoga and Physiology,COURSE,4.8,Beginner,14000.0,2.0,Healthcare & Medicine,,
Engineering Project Management: Initiating and Planning,COURSE,4.7,Beginner,23000.0,2.0,Project Management,,
English Composition I,COURSE,4.6,Beginner,200000.0,2.0,Music & Audio Production,,
English for Business and Entrepreneurship,COURSE,4.8,Beginner,230000.0,2.0,Project Management,,
English for Career Development,COURSE,4.8,Mixed,760000.0,2.0,Soft Skills & Communication,,
English for Journalism,COURSE,4.8,Mixed,130000.0,2.0,Language Learning,,
English for Research Publication Purposes,SPECIALIZATION,4.6,Intermediate,42000.0,2.0,Language Learning,,
"English for Science, Technology, Engineering, and Mathematics",COURSE,4.8,Beginner,110000.0,2.0,Language Learning,,
Enterprise Architecture,COURSE,4.4,Beginner,2400.0,2.0,Supply Chain & Operations,,
Entrepreneurial Finance: Strategy and Innovation,SPECIALIZATION,4.5,Intermediate,7900.0,2.0,Finance & Accounting,,
Entrepreneurship,SPECIALIZATION,4.8,Beginner,110000.0,2.0,Project Management,,
Entrepreneurship 1: Developing the Opportunity,COURSE,4.8,Mixed,86000.0,2.0,Game Development,,
Entrepreneurship 2: Launching your Start-Up,COURSE,4.8,Mixed,38000.0,2.0,Project Management,,
Entrepreneurship 3: Growth Strategies,COURSE,4.7,Beginner,31000.0,2.0,Project Management,,
Entrepreneurship Strategy: From Ideation to Exit,COURSE,4.8,Beginner,20000.0,2.0,Project Management,,
Entrepreneurship: Launching an Innovative Business,SPECIALIZATION,4.6,Beginner,69000.0,2.0,Project Management,,
Epidemics - the Dynamics of Infectious Diseases,COURSE,4.8,Mixed,45000.0,2.0,Other,,
"Epidemics, Pandemics and Outbreaks",COURSE,4.7,Mixed,23000.0,2.0,Other,,
Epidemiology for Public Health,SPECIALIZATION,4.7,Beginner,6400.0,2.0,Healthcare & Medicine,,
Epidemiology in Public Health Practice,SPECIALIZATION,4.7,Beginner,31000.0,2.0,Healthcare & Medicine,,
